,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/1/4,836.988,827.071,403169700,994.769,982.794,741286894,996.682,986.927,232376203,996.278,989.984,49473755
2005/1/5,825.707,831.428,302086300,981.577,992.564,711910898,986.57,1003.633,348610113,989.873,1013.583,82266144
2005/1/6,831.989,822.499,275357400,993.331,983.174,628802905,1003.49,994.595,293390559,1014.965,1005.465,73245401
2005/1/7,822.669,823.616,306608600,983.045,983.958,729869409,993.434,997.606,339162698,1005.515,1011.74,75824002
2005/1/10,823.766,832.986,247941100,983.76,993.879,579169799,996.928,1006.337,294940533,1011.925,1023.638,59692764
2005/1/11,833.209,837.861,245009800,994.189,997.135,584907998,1006.211,1008.343,313611521,1024.036,1027.159,78262585
2005/1/12,837.357,837.244,163275100,996.651,996.748,501452509,1008.01,1008.62,319639380,1026.741,1024.92,76247710
2005/1/13,836.17,834.221,209669400,996.078,996.877,604406584,1008.098,1013.07,471573361,1024.132,1029.298,102111201
2005/1/14,834.354,829.042,362708700,996.617,988.306,729784238,1012.699,1000.169,401693734,1028.99,1011.875,86413352
2005/1/17,821.189,811.554,325221700,979.111,967.452,728818876,990.987,977.522,435860320,1002.333,986.661,92119216
2005/1/18,811.316,817.309,371926500,967.374,974.689,731184782,977.603,991.419,451613258,985.674,1008.107,99050423
2005/1/19,816.644,810.989,329754700,974.333,967.21,633809119,991.291,986.241,425524931,1007.109,1002.46,116230013
2005/1/20,807.395,805.081,364939500,963.213,956.245,772710670,983.198,972.463,465204848,999.93,989.441,110844545
2005/1/21,803.091,831.847,740780600,954.462,982.604,1445005985,971.501,988.519,618525583,987.432,1006.25,166007432
2005/1/24,847.07,842.414,648612400,1001.854,998.133,1435946161,1009.947,1008.175,732335514,1028.014,1028.011,177842299
2005/1/25,839.715,841.64,411928100,995.637,997.775,986252911,1006.0,999.553,469480344,1023.096,1015.1,129020495
2005/1/26,840.821,834.669,301807700,995.78,989.928,766329017,997.638,987.955,411390082,1014.253,1006.84,120591910
2005/1/27,831.832,821.705,302954000,987.342,974.631,694536497,986.146,971.373,412321375,1005.889,989.414,115175726
2005/1/28,819.656,820.689,233991800,974.631,969.209,574880738,971.373,952.413,407237328,989.414,963.005,107392800
2005/1/31,817.93,813.753,258840800,965.785,954.879,678870643,948.439,922.653,409509905,954.944,924.166,114388661
2005/2/1,812.563,817.872,273230300,953.33,955.951,743306676,919.8,913.331,419974568,917.296,905.802,110752514
2005/2/2,819.245,860.504,777403300,956.701,1006.913,1705733857,913.025,964.243,655356622,904.128,958.392,152885865
2005/2/3,856.77,848.486,712029000,1005.563,993.215,1697453933,963.746,945.312,637130084,956.729,936.861,138602679
2005/2/4,847.617,872.884,733155500,992.25,1016.858,1573621461,944.447,962.028,519301391,937.15,952.392,127717964
2005/2/16,877.97,875.46,505684400,1023.324,1023.584,1213129305,967.432,972.337,469332268,959.281,966.385,125149870
2005/2/17,876.636,870.085,363484800,1024.43,1020.606,896829766,971.838,977.272,403195849,966.036,973.808,112747945
2005/2/18,869.398,856.212,352132300,1020.122,1006.055,813993936,977.12,964.769,411281145,973.19,964.005,107920254
2005/2/21,856.954,874.021,432910000,1006.693,1025.633,988609416,965.001,981.819,476520314,963.578,983.608,131163055
2005/2/22,874.946,887.07,667449000,1026.837,1046.744,1793784231,982.418,1007.688,957578905,983.96,1015.658,227720595
2005/2/23,886.668,877.914,745959300,1046.812,1043.944,1869692971,1008.293,1019.258,1020182334,1016.768,1032.895,261375515
2005/2/24,875.726,877.345,547588900,1042.253,1045.46,1468178853,1018.292,1024.446,868323283,1031.754,1035.348,233797098
2005/2/25,878.216,878.503,654335800,1046.274,1046.761,1817000338,1024.569,1024.118,965076125,1034.536,1032.413,225667912
2005/2/28,878.553,868.886,484748700,1046.206,1039.989,1297104604,1023.191,1020.847,702805156,1032.182,1029.384,173478562
2005/3/1,868.367,866.258,317994800,1039.351,1035.934,996209016,1020.595,1021.162,667563690,1028.613,1030.815,147051711
2005/3/2,866.078,855.879,595192200,1036.368,1021.32,1422513553,1021.357,1006.148,745797116,1031.502,1014.527,183192094
2005/3/3,854.789,861.688,333921400,1019.876,1027.71,920308564,1004.1,1011.288,537249418,1011.26,1020.248,132787374
2005/3/4,862.112,859.489,298302300,1027.927,1023.667,817364167,1011.2,1003.21,452518936,1020.55,1011.361,110389762
2005/3/7,859.659,863.704,279701300,1024.48,1029.871,793294979,1004.341,1006.953,447514053,1011.808,1013.594,97226764
2005/3/8,867.834,876.344,525746400,1033.786,1048.987,1429579380,1007.684,1029.457,718700799,1014.257,1037.029,159423267
2005/3/9,878.358,869.403,697399300,1051.26,1046.544,1532748839,1031.602,1032.55,825782273,1039.514,1042.182,188012566
2005/3/10,869.024,851.531,559164300,1046.692,1022.413,1329595333,1032.274,1005.545,710602049,1042.737,1011.791,173518674
2005/3/11,850.907,853.898,466169500,1021.084,1027.429,1147638146,1003.781,1009.434,595531053,1009.981,1017.453,140169222
